"Modified_User","VidNummer","Modified_Time","VidPreisProTag","VidTitel","ID","Added_Time","VidDauer","Record_Status","VidEinkaufsPreis","VidBewertung","KategorieKategorie","VidBeschreibung","JahrJahr","VidLagerBestand","VidFreiAb"
"Z:mirco.zaech@stud.kftg.ch","100000","1576849473000","","Inception","74599000000027255","1576849473000","148","0","","8.2","Action","Inception ist Christopher Nolans verschlungener Psycho-Thriller um Cyber-Diebe, die in die Träume ihrer Opfer eindringen, um dort Ideen zu stehlen – oder neue Ideen einzupflanzen.","2010","","12"
"Z:mirco.zaech@stud.kftg.ch","100001","1576849473000","","The Dark Knight","74599000000027259","1576849473000","152","0","","8.3","Action","Im zweiten Teil von Christopher Nolans Batman-Trilogie, The Dark Knight, versucht Heath Ledger als Joker Gotham City ins Chaos zu stürzen und Batmans Pläne zu vereiteln.","2008","","16"
"Z:mirco.zaech@stud.kftg.ch","100002","1576849473000","","Pulp Fiction","74599000000027263","1576849473000","154","0","","8.4","Drama","Mit Pulp Fiction schuf Quentin Tarantino die Mutter aller ‘Kultfilme’, in dem er philosophische Profikiller, abgebrühte Boxer, perverse Entführer und eine verführerische Gangsterbraut in eine wahnwitzige Geschichte schmiedete.","1994","","16"
"Z:mirco.zaech@stud.kftg.ch","100003","1576849473000","","Fight Club","74599000000027267","1576849473000","139","0","","8.3","Thriller","David Finchers Adaption Fight Club nach dem gleichnamigen Roman von Chuck Palahniuk entlässt Brad Pitt & Edward Norton in die Wirren ihrer Zeit.","1999","","18"
"Z:mirco.zaech@stud.kftg.ch","100004","1576849473000","","Der Herr der Ringe: Die Rückkehr des Königs","74599000000027271","1576849473000","200","0","","8.1","Fantasy","Im dritten und letzten Teil der Herr-der-Ringe-Saga, Die Rückkehr des Königs, erreicht Frodo das Ende seiner Mission, während seine Freunde die letzte Schlacht zu schlagen haben.","2003","","12"
"Z:mirco.zaech@stud.kftg.ch","100005","1576849473000","","Hangover","74599000000027275","1576849473000","100","0","","7.5","Komödie","In Hangover müssen drei Freunde nach einem Junggesellen-Abschied in Las Vegas schnellstmöglich die Ereignisse des Abends rekonstruieren, um den verschwundenen Bräutigam zu finden.","2009","","12"
"Z:mirco.zaech@stud.kftg.ch","100006","1576849473000","","Forrest Gump","74599000000027279","1576849473000","142","0","","8.2","Komödie","Mit Forrest Gump ließ Regisseur Robert Zemeckis augenzwinkernd wie berührend den gutherzigen Simpel Forrest Gump Zeitgeschichte miterleben. Tom Hanks gewann für seine Darstellung den Oscar.","1994","","12"
"Z:mirco.zaech@stud.kftg.ch","100007","1576849473000","","Zurück in die Zukunft","74599000000027283","1576849473000","111","0","","7.5","Science Fiction","Im Komödien-Klassiker Zurück in die Zukunft reist Michael J. Fox mithilfe einer Zeitmaschinen-Autos in die 1950er Jahre, und verhindert damit fast seine eigene Geburt.","1985","","12"
"Z:mirco.zaech@stud.kftg.ch","100008","1576849473000","","Der Herr der Ringe: Die Gefährten","74599000000027287","1576849473000","178","0","","7.9","Fantasy","Im ersten Teil der epischen Trilogie von J.R.R. Tolkien, Der Herr der Ringe: Die Gefährten, schickt Peter Jackson selbige Gefährten quer durch Mittelerde, wo z.B. Pippin und Merry in den Ents Verbündete im Kampf gegen das Heer Sarumans finden.","2001","","12"
"Z:mirco.zaech@stud.kftg.ch","100009","1576849473000","","Avatar - Aufbruch nach Pandora","74599000000027291","1576849473000","161","0","","7.3","Science Fiction","Mit Avatar revolutionierte James Cameron das 3D-Kino. Auf dem Planeten Pandora soll Sam Worthington getarnt als Ureinwohner-Alien spionieren. Doch er verliebt sich in den vermeintlichen Feind.","2009","","12"
